Street,Area,City,Price,Alicuota,sqms,sqm_cov,Rooms,Toilets,Garages,Url,PricePerSqm,lat,lng
,Centro Norte,Quito,650,['169'],200,['180'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/departamento-remodelado-en-la-gaspar-de-avillarrorl-57855913.html,3.25,-0.1775545,-78.4862109
Eloy Alfaro y Granados,Monteserrín,Quito,800,['50'],230,['180'],['4'],['2'],['2'],https://www.plusvalia.com/propiedades/duplex-ph-180-m-sup2--4-dorm.-terraza-propia-oficina-o-58004020.html,3.4782608695652173,-0.1658431,-78.46827730000001
Av. Coruña y González Suárez;,González Suárez,Quito,550,['150'],145,['145'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/rento-departamento-145-m-sup2--sector-gonzalez-suarez-57996766.html,3.793103448275862,-0.1955935,-78.4803367
TOMAS DE BERLANGA ,Centro Norte,Quito,600,['1'],120,['120'],['2'],['1'],['1'],https://www.plusvalia.com/propiedades/rento-hermoso-departamento-sector-tomas-de-berlanga-57809928.html,5.0,-0.1649703,-78.479709
,Centro Norte,Quito,470,['0'],54,['54'],['1'],['1'],['0'],https://www.plusvalia.com/propiedades/suite-de-renta-amoblada-sector-orellana-57855391.html,8.703703703703704,-0.1775545,-78.4862109
,González Suárez,Quito,1500,['300'],250,['226'],['3'],['4'],['2'],https://www.plusvalia.com/propiedades/lujoso-departamento-amoblado-en-la-gonzalez-suarez-57997589.html,6.0,-0.197548,-78.4801671
San Carlos,San Carlos,Quito,300,['0'],75,['75'],['2'],['1'],['0'],https://www.plusvalia.com/propiedades/san-carlos-departamento-75-m-sup2--2-habitaciones-57804766.html,4.0,-0.1336522,-78.5018972
Granados ,Centro Norte,Quito,430,['50'],55,['55'],['1'],['1'],['1'],https://www.plusvalia.com/propiedades/granados-linda-suite-de-renta-57835611.html,7.818181818181818,-0.1669476,-78.4704671
Checoslovaquia No 324 y Moscu,La Carolina,Quito,1000,['200'],140,['120'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/carolina-calle-checoslovaquia-amoblado-de-lujo-57789869.html,7.142857142857143,-0.1857802,-78.47970959999999
10 de agosto y mañosca,Centro Norte,Quito,450,['1'],90,['82'],['3'],['2'],['1'],https://www.plusvalia.com/propiedades/h-10-de-agosto.-departamento-en-arriendo-57815260.html,5.0,-0.1778212,-78.4889397
PORTUGAL ,La Carolina,Quito,800,['150'],112,['90'],['2'],['2'],['1'],https://www.plusvalia.com/propiedades/departamento-en-renta-amoblado-con-balcon-sector-57844245.html,7.142857142857143,-0.1817414,-78.4802004
QUITO TENIS ,Quito Tenis,Quito,1200,['180'],191,['191'],['3'],['3'],['3'],https://www.plusvalia.com/propiedades/hermoso-y-lujoso-departamento-3-habitaciones-cada-uno-57773311.html,6.282722513089006,-0.1659935,-78.4936632
Whymper y Coruña,Iñaquito Alto,Quito,770,['0'],164,['154'],['3'],['2'],['2'],https://www.plusvalia.com/propiedades/en-renta-departamento-sector-la-paz-57780568.html,4.695121951219512,-0.196068,-78.48123070000001
Moscú y República del Salvador,La Carolina,Quito,790,['160'],127,['127'],['2'],['2'],['0'],https://www.plusvalia.com/propiedades/renta-de-moderno-departamento-amoblado-republica-del-57773943.html,6.2204724409448815,-0.1843955,-78.48071449999999
